customer_id,name,email,phone,address
1,Customer_1,customer1@email.com,9828434984,Address_1
2,Customer_2,customer2@email.com,9820402882,Address_2
3,Customer_3,customer3@email.com,9876028508,Address_3
4,Customer_4,customer4@email.com,9813329457,Address_4
5,Customer_5,customer5@email.com,9851391508,Address_5
6,Customer_6,customer6@email.com,9883962205,Address_6
7,Customer_7,customer7@email.com,9896039357,Address_7
8,Customer_8,customer8@email.com,9893346851,Address_8
9,Customer_9,customer9@email.com,9888734530,Address_9
10,Customer_10,customer10@email.com,9839857107,Address_10
11,Customer_11,customer11@email.com,9874918628,Address_11
12,Customer_12,customer12@email.com,9883831182,Address_12
13,Customer_13,customer13@email.com,9868497828,Address_13
14,Customer_14,customer14@email.com,9890664334,Address_14
15,Customer_15,customer15@email.com,9833652105,Address_15
16,Customer_16,customer16@email.com,9861480114,Address_16
17,Customer_17,customer17@email.com,9875794933,Address_17
18,Customer_18,customer18@email.com,9815004392,Address_18
19,Customer_19,customer19@email.com,9838399316,Address_19
20,Customer_20,customer20@email.com,9852466189,Address_20
21,Customer_21,customer21@email.com,9896683602,Address_21
22,Customer_22,customer22@email.com,9831852403,Address_22
23,Customer_23,customer23@email.com,9852528710,Address_23
24,Customer_24,customer24@email.com,9869956589,Address_24
25,Customer_25,customer25@email.com,9840586732,Address_25
26,Customer_26,customer26@email.com,9842221573,Address_26
27,Customer_27,customer27@email.com,9811646363,Address_27
28,Customer_28,customer28@email.com,9844998092,Address_28
29,Customer_29,customer29@email.com,9824103804,Address_29
30,Customer_30,customer30@email.com,9845710144,Address_30
31,Customer_31,customer31@email.com,9889221535,Address_31
32,Customer_32,customer32@email.com,9894224564,Address_32
33,Customer_33,customer33@email.com,9886386981,Address_33
34,Customer_34,customer34@email.com,9828629826,Address_34
35,Customer_35,customer35@email.com,9874675132,Address_35
36,Customer_36,customer36@email.com,9880706332,Address_36
37,Customer_37,customer37@email.com,9886709375,Address_37
38,Customer_38,customer38@email.com,9853996456,Address_38
39,Customer_39,customer39@email.com,9844321396,Address_39
40,Customer_40,customer40@email.com,9894391854,Address_40
41,Customer_41,customer41@email.com,9870243306,Address_41
42,Customer_42,customer42@email.com,9856189825,Address_42
